airline,airline_id,src_airport,src_airport_id,dest_airport,dest_airport_id,codeshare,stops,equipment
SK,4319,KRS,638,ALC,1212,,0,73H
SK,4319,KRS,638,CPH,609,Y,0,DH4
SK,4319,KRS,638,OSL,644,,0,736 738 73G 73W 73H
SK,4319,KSU,647,OSL,644,,0,736 738 73W 73H 73G
SK,4319,LBA,517,CPH,609,,0,CR9
SK,4319,LED,2948,ARN,737,,0,736 73H 73W 73G
SK,4319,LED,2948,CPH,609,,0,321 320
SK,4319,LHR,507,ARN,737,,0,73W 73H 736 73G 717
SK,4319,LHR,507,CPH,609,,0,320 321 CR9
SK,4319,LHR,507,GOT,687,,0,73H 73W 736
SK,4319,LHR,507,OSL,644,,0,738 73G 73H 736 73W
SK,4319,LHR,507,SVG,666,,0,73W 73G 736 738 73H
SK,4319,LIN,1529,ARN,737,,0,73W 73H 717 736
SK,4319,LIN,1529,CPH,609,,0,CR9
SK,4319,LJU,1569,CPH,609,Y,0,CR9
SK,4319,LLA,734,ARN,737,,0,73H 736 73W 73G 717
SK,4319,LPA,1054,OSL,644,,0,738
SK,4319,LPI,742,CPH,609,,0,AT7
SK,4319,LUX,629,CPH,609,,0,CR9
SK,4319,LYC,719,AJR,730,Y,0,ATP
SK,4319,LYC,719,ARN,737,Y,0,ATP
SK,4319,LYR,658,OSL,644,,0,73H 738 73W
SK,4319,LYR,658,TOS,663,,0,73H 738
SK,4319,MAD,1229,ARN,737,,0,73H 73W
SK,4319,MAD,1229,CPH,609,,0,320 321
SK,4319,MAN,478,ARN,737,,0,736 717 73H 73W
SK,4319,MAN,478,BGO,636,,0,736
SK,4319,MAN,478,CPH,609,,0,320 321 319 717 CR9
SK,4319,MAN,478,OSL,644,,0,738 736
SK,4319,MBA,1145,ADD,1107,Y,0,738
SK,4319,MLA,1606,ARN,737,,0,73H
SK,4319,MMX,708,ARN,737,,0,73H 736 717 73W 73G AT7
SK,4319,MOL,651,OSL,644,,0,73G 73H 736 73W
SK,4319,MUC,346,ARN,737,Y,0,CR9 320 321 319
SK,4319,MUC,346,BEG,1739,,0,E95
SK,4319,MUC,346,BSL,1423,,0,CR9 CR7
SK,4319,MUC,346,CPH,609,,0,CR9 320 321 319
SK,4319,MUC,346,GOT,687,Y,0,E95 CR9
SK,4319,MUC,346,HEL,421,Y,0,319 320
SK,4319,MUC,346,MAD,1229,,0,321
SK,4319,MUC,346,OSL,644,,0,73H 73G 73W
SK,4319,MXP,1524,CPH,609,,0,321 320
SK,4319,MXP,1524,OSL,644,,0,738 73G 73H
SK,4319,NCE,1354,ARN,737,,0,73H 73W
SK,4319,NCE,1354,CPH,609,,0,321 320
SK,4319,NCE,1354,OSL,644,,0,738 73H 73G
SK,4319,NCL,521,CPH,609,Y,0,CR2
SK,4319,NCL,521,SVG,666,Y,0,DH4
SK,4319,NRT,2279,CPH,609,,0,343
