airline,airline_id,src_airport,src_airport_id,dest_airport,dest_airport_id,codeshare,stops,equipment
AF,137,TLV,1590,NCE,1354,,0,320
AF,137,TNR,918,CDG,1382,,0,772
AF,137,TPA,3646,ATL,3682,Y,0,757 739
AF,137,TPE,2276,AMS,580,Y,0,777
AF,137,TPE,2276,MNL,2397,Y,0,777
AF,137,TRI,4116,ATL,3682,Y,0,CRJ
AF,137,TRN,1526,CDG,1382,,0,E90 AR8 E70
AF,137,TUL,3855,ATL,3682,Y,0,CR7 CR9
AF,137,TUN,287,CDG,1382,,0,321 319 320
AF,137,TUN,287,MRS,1353,,0,319 320
AF,137,TUS,3636,ATL,3682,Y,0,M90
AF,137,TXL,351,CDG,1382,,0,321 319 320 318
AF,137,TXL,351,MRS,1353,,0,320 319
AF,137,TYS,3676,ATL,3682,Y,0,CRJ 717 CR7 CR9
AF,137,UIO,2688,GYE,2673,Y,0,772 777
AF,137,VCE,1551,CDG,1382,,0,318 320 319 32A
AF,137,VCE,1551,LYS,1335,,0,ER4 CRK
AF,137,VCE,1551,MRS,1353,,0,320 319
AF,137,VCE,1551,NCE,1354,,0,320
AF,137,VCE,1551,TLS,1273,,0,319 320
AF,137,VGO,1250,CDG,1382,,0,E70
AF,137,VIE,1613,CDG,1382,,0,320 318 319 32A 321
AF,137,VIE,1613,LYS,1335,Y,0,DH4 F70
AF,137,VLC,1246,CDG,1382,Y,0,738
AF,137,VLD,5776,ATL,3682,Y,0,CRJ
AF,137,VPS,3873,ATL,3682,Y,0,717 319 M88
AF,137,VRN,1550,CDG,1382,,0,E70
AF,137,WAW,679,CDG,1382,,0,321 318 319 320
AF,137,WUH,3376,CAN,3370,Y,0,738
AF,137,WUH,3376,CDG,1382,,0,332
AF,137,WUH,3376,ENH,6358,Y,0,738
AF,137,XNA,4356,ATL,3682,Y,0,CRJ CR9 CR7
AF,137,YUL,146,ATL,3682,Y,0,CR9
AF,137,YUL,146,CDG,1382,,0,744 343
AF,137,YYZ,193,ATL,3682,Y,0,CR7
AF,137,YYZ,193,CDG,1382,,0,772
AF,137,ZAG,1208,CDG,1382,,0,AR8
AF,137,ZRH,1678,CDG,1382,,0,318
AF,137,ZSE,917,MRU,893,Y,0,AT7
AH,794,AAE,220,ALG,210,,0,738 ATR 736
AH,794,AAE,220,CDG,1382,,0,738
AH,794,AAE,220,IST,1701,,0,738
AH,794,AAE,220,LYS,1335,,0,738
AH,794,AAE,220,MRS,1353,,0,738
