1023,Kitona Base Airport,Kitona Base,Congo (Kinshasa),\N,FZAI,-5.918059826,12.44769955,394,1,N,Africa/Kinshasa,airport,OurAirports
1024,Bandundu Airport,Bandoundu,Congo (Kinshasa),FDU,FZBO,-3.311320066,17.38170052,1063,1,N,Africa/Kinshasa,airport,OurAirports
1025,Kikwit Airport,Kikwit,Congo (Kinshasa),KKW,FZCA,-5.035769939,18.78560066,1572,1,N,Africa/Kinshasa,airport,OurAirports
1026,Mbandaka Airport,Mbandaka,Congo (Kinshasa),MDK,FZEA,0.02260000072,18.2887001,1040,1,N,Africa/Kinshasa,airport,OurAirports
1027,Gbadolite Airport,Gbadolite,Congo (Kinshasa),BDT,FZFD,4.253210068,20.97529984,1509,1,N,Africa/Kinshasa,airport,OurAirports
1028,Gemena Airport,Gemena,Congo (Kinshasa),GMA,FZFK,3.235369921,19.77129936,1378,1,N,Africa/Kinshasa,airport,OurAirports
1029,Kotakoli Airport,Kotakoli,Congo (Kinshasa),KLI,FZFP,4.15763998,21.65089989,1801,1,N,Africa/Kinshasa,airport,OurAirports
1030,Lisala Airport,Lisala,Congo (Kinshasa),LIQ,FZGA,2.17066,21.496901,1509,1,N,Africa/Kinshasa,airport,OurAirports
1031,Bangoka International Airport,Kisangani,Congo (Kinshasa),FKI,FZIC,0.4816389978,25.33799934,1417,2,U,Africa/Lubumbashi,airport,OurAirports
1032,Matari Airport,Isiro,Congo (Kinshasa),IRP,FZJH,2.827610016,27.5883007,2438,2,U,Africa/Lubumbashi,airport,OurAirports
1033,Bunia Airport,Bunia,Congo (Kinshasa),BUX,FZKA,1.565719962,30.2208004,4045,2,U,Africa/Lubumbashi,airport,OurAirports
1034,Buta Zega Airport,Buta Zega,Congo (Kinshasa),BZU,FZKJ,2.818350077,24.79369926,1378,2,U,Africa/Lubumbashi,airport,OurAirports
1035,Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),BKY,FZMA,-2.308979988,28.80879974,5643,2,U,Africa/Lubumbashi,airport,OurAirports
1036,Goma International Airport,Goma,Congo (Kinshasa),GOM,FZNA,-1.670809984,29.2385006,5089,2,U,Africa/Kigali,airport,OurAirports
1037,Kindu Airport,Kindu,Congo (Kinshasa),KND,FZOA,-2.919179916,25.91539955,1630,2,U,Africa/Lubumbashi,airport,OurAirports
1038,Lubumbashi International Airport,Lubumashi,Congo (Kinshasa),FBM,FZQA,-11.59130001,27.53089905,4295,2,U,Africa/Lubumbashi,airport,OurAirports
1039,Kolwezi Airport,Kolwezi,Congo (Kinshasa),KWZ,FZQM,-10.76589966,25.50569916,5007,2,U,Africa/Lubumbashi,airport,OurAirports
1040,Kalemie Airport,Kalemie,Congo (Kinshasa),FMI,FZRF,-5.875559807,29.25,2569,2,U,Africa/Lubumbashi,airport,OurAirports
1041,Kamina Base Airport,Kamina Base,Congo (Kinshasa),KMN,FZSA,-8.642020226,25.25289917,3543,2,U,Africa/Lubumbashi,airport,OurAirports
1042,Kananga Airport,Kananga,Congo (Kinshasa),KGA,FZUA,-5.900050163,22.46920013,2139,2,U,Africa/Lubumbashi,airport,OurAirports
1043,Mbuji Mayi Airport,Mbuji-mayi,Congo (Kinshasa),MJM,FZWA,-6.121240139,23.56900024,2221,2,U,Africa/Lubumbashi,airport,OurAirports
1044,Modibo Keita International Airport,Bamako,Mali,BKO,GABS,12.5335,-7.94994,1247,0,N,Africa/Bamako,airport,OurAirports
1045,Gao Airport,Gao,Mali,GAQ,GAGO,16.24839973,-0.005456000101,870,0,N,Africa/Bamako,airport,OurAirports
1046,Kayes Dag Dag Airport,Kayes,Mali,KYS,GAKY,14.48120022,-11.40439987,164,0,N,Africa/Bamako,airport,OurAirports
1047,Mopti Airport,Mopti,Mali,MZI,GAMB,14.51280022,-4.079559803,906,0,N,Africa/Bamako,airport,OurAirports
1048,Timbuktu Airport,Tombouctou,Mali,TOM,GATB,16.73049927,-3.007580042,863,0,N,Africa/Bamako,airport,OurAirports
1049,Tessalit Airport,Tessalit,Mali,\N,GATS,20.24300003,0.9773079753,1621,0,N,Africa/Bamako,airport,OurAirports
