2070,Jubail Airport,Jubail,Saudi Arabia,QJB,OEJB,27.03899956,49.40510178,26,3,U,Asia/Riyadh,airport,OurAirports
2071,King Faisal Naval Base,Jeddah,Saudi Arabia,\N,OEJF,21.34810066,39.17300034,7,3,U,Asia/Riyadh,airport,OurAirports
2072,King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED,OEJN,21.6796,39.156502,48,3,U,Asia/Riyadh,airport,OurAirports
2073,King Khaled Military City Airport,King Khalid Mil.city,Saudi Arabia,KMC,OEKK,27.9009,45.528198,1352,3,U,Asia/Riyadh,airport,OurAirports
2074,Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,MED,OEMA,24.5534,39.705101,2151,3,U,Asia/Riyadh,airport,OurAirports
2075,Nejran Airport,Nejran,Saudi Arabia,EAM,OENG,17.6114006,44.4192009,3982,3,U,Asia/Riyadh,airport,OurAirports
2076,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,AQI,OEPA,28.335199,46.125099,1174,3,U,Asia/Riyadh,airport,OurAirports
2077,Pump Station 3 Airport,Petroline 3,Saudi Arabia,\N,OEPC,25.17449951,47.48839951,1740,3,U,Asia/Riyadh,airport,OurAirports
2078,Pump Station 6 Airport,Petroline 6,Saudi Arabia,\N,OEPF,24.71030045,44.96450043,2530,3,U,Asia/Riyadh,airport,OurAirports
2079,Pump Station 10 Airport,Petroline 10,Saudi Arabia,\N,OEPJ,24.1072998,41.0359993,2840,3,U,Asia/Riyadh,airport,OurAirports
2080,Rabigh Airport,Rabigh,Saudi Arabia,\N,OERB,22.70260048,39.06980133,22,3,U,Asia/Riyadh,airport,OurAirports
2081,Rafha Domestic Airport,Rafha,Saudi Arabia,RAH,OERF,29.62639999,43.49060059,1474,3,U,Asia/Riyadh,airport,OurAirports
2082,King Khaled International Airport,Riyadh,Saudi Arabia,RUH,OERK,24.95759964,46.69879913,2049,3,U,Asia/Riyadh,airport,OurAirports
2083,Ras Mishab Airport,Rash Mishab,Saudi Arabia,\N,OERM,28.07959938,48.61100006,13,3,U,Asia/Riyadh,airport,OurAirports
2084,Arar Domestic Airport,Arar,Saudi Arabia,RAE,OERR,30.90660095,41.13819885,1813,3,U,Asia/Riyadh,airport,OurAirports
2085,Ras Tanura Airport,Ras Tanura,Saudi Arabia,\N,OERT,26.72310066,50.03079987,6,3,U,Asia/Riyadh,airport,OurAirports
2086,Sharurah Airport,Sharurah,Saudi Arabia,SHW,OESH,17.46689987,47.12139893,2363,3,U,Asia/Riyadh,airport,OurAirports
2088,Sulayel Airport,Sulayel,Saudi Arabia,SLF,OESL,20.4647007,45.61959839,2021,3,U,Asia/Riyadh,airport,OurAirports
2089,Tabuk Airport,Tabuk,Saudi Arabia,TUU,OETB,28.3654,36.6189,2551,3,U,Asia/Riyadh,airport,OurAirports
2090,Taâ€™if Regional Airport,Taif,Saudi Arabia,TIF,OETF,21.483001,40.543442,4848,3,U,Asia/Riyadh,airport,OurAirports
2091,Thumamah Airport,Thumamah,Saudi Arabia,\N,OETH,25.21299934,46.64099884,1870,3,U,Asia/Riyadh,airport,OurAirports
2092,Ras Tanajib Airport,Ras Tanajib,Saudi Arabia,\N,OETN,27.86779976,48.76910019,30,3,U,Asia/Riyadh,airport,OurAirports
2093,Turaif Domestic Airport,Turaif,Saudi Arabia,TUI,OETR,31.692188,38.731544,2803,3,U,Asia/Riyadh,airport,OurAirports
